date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,164.625552,165.15018288,162.50893776,163.11497688,3679013,664502207.31,0.7371,-0.8631,300760
2020-01-03,164.70696024,164.70696024,160.79936472,161.007408,3442870,615821569.33,0.6898,-1.2921,300760
2020-01-06,160.06669056,161.5049028,159.2435628,159.75914832,3959764,702201244.48,0.7933,-0.7753,300760
2020-01-07,160.6455936,163.65769848,159.75914832,163.4496552,3544309,636006422.42,0.7101,2.31,300760
2020-01-08,162.7712532,164.59841592,162.0928512,162.9521604,2886523,521165553.23,0.5783,-0.3044,300760
2020-01-09,163.042614,172.96537392,163.042614,171.73520496,7348336,1376922854.27,1.4722,5.39,300760
2020-01-10,171.60856992,172.63974096,169.15727736,169.6005,3628429,685969696.17,0.7269,-1.243,300760
2020-01-13,170.052768,170.8216236,167.33916,170.3241288,3267106,612078885.78,0.6546,0.4267,300760
2020-01-14,171.2738916,171.85279464,168.04469808,169.148232,2793505,522960957.02,0.5597,-0.6904,300760
2020-01-15,169.148232,171.5000256,168.76832688,170.45076384,3380073,637136587.18,0.6772,0.7701,300760
2020-01-16,170.45076384,175.3895304,169.36532064,174.3040872,4497440,860969627.61,0.901,2.2607,300760
2020-01-17,174.64781088,176.1131592,171.86184,174.6206748,3056911,589009496.55,0.6124,0.1816,300760
2020-01-20,176.39356536,177.26191992,172.92919248,175.51616544,3851186,746753227.16,0.7716,0.5128,300760
2020-01-21,175.91416128,181.0881072,173.670912,174.91012632,4517045,882402150.86,0.905,-0.3453,300760
2020-01-22,176.38452,177.00864984,170.87589576,174.81967272,4389822,840324376.63,0.8795,-0.0517,300760
2020-01-23,176.38452,176.38452,168.18942384,169.76331648,4394808,835954577.98,0.8805,-2.8923,300760
2020-02-03,169.76331648,178.44686208,161.007408,168.243696,8848845,1665892180.1,1.7728,-0.8951,300760
2020-02-04,169.93517832,184.86906768,169.35627528,180.89815464,10056318,1969667175.39,2.0148,7.5215,300760
2020-02-05,187.13040768,198.98887464,186.334416,198.98887464,11001148,2392620240.08,2.204,10.0005,300760
2020-02-06,208.03423464,208.03423464,196.9174872,200.66226624,14239018,3167666391.97,2.8527,0.8409,300760
2020-02-07,200.7165384,203.5206,191.87017632,195.26218632,8663929,1880189753.6,1.7358,-2.6911,300760
2020-02-10,196.284312,204.425136,196.284312,203.90955048,9450734,2097171685.43,1.8934,4.4286,300760
2020-02-11,202.77888048,204.877404,199.61300448,201.8924352,5244933,1170743057.43,1.0508,-0.9892,300760
2020-02-12,201.711528,206.80406568,199.9476828,206.234208,5287564,1197365247.97,1.0593,2.1505,300760
2020-02-13,207.03019968,208.495548,202.616064,205.4201256,4370194,993511490.27,0.8756,-0.3947,300760
2020-02-14,204.425136,217.993176,204.2442288,213.9679908,6035730,1417828253.51,1.2092,4.1612,300760
2020-02-17,217.61327088,227.51794008,217.08864,218.3097636,6291551,1535641924.84,1.2605,2.0292,300760
2020-02-18,215.33384016,221.5208664,215.27052264,219.16002744,3852644,932507762.03,0.7719,0.3895,300760
2020-02-19,216.19314936,218.87962128,211.661424,212.3850528,6300096,1487769392.2,1.2622,-3.0913,300760
2020-02-20,212.3850528,215.0986608,210.87447768,212.55691464,4846309,1138905459.39,0.9709,0.0809,300760
2020-02-21,210.8925684,219.24143568,208.10659752,217.39618224,6566427,1551603404.81,1.3156,2.2767,300760
