date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,25.8189476,26.0222464,25.0565771,25.64106115,22840092,1147060403.53,2.7884,0.5782,300014
2020-01-03,25.16839144,25.45300976,24.14681497,24.44159823,40936496,1984433139.98,4.9976,-4.6779,300014
2020-01-06,24.6499795,26.79478184,24.63473209,26.3780193,47402752,2425629385.8,5.7871,7.9226,300014
2020-01-07,26.38310177,26.62197786,25.57498904,26.14422568,29404177,1504313813.76,3.5897,-0.8863,300014
2020-01-08,25.83419501,26.54065834,25.49875199,25.71221573,22116240,1129844664.99,2.7,-1.6524,300014
2020-01-09,25.85960736,26.73887467,25.6664735,26.40851412,27974549,1454201425.11,3.4152,2.708,300014
2020-01-10,26.7337922,27.6994615,26.33735954,27.36910095,31973415,1702506907.63,3.9034,3.6374,300014
2020-01-13,27.40976071,28.63971845,27.40976071,27.87226548,23703069,1304935795.75,2.8937,1.8384,300014
2020-01-14,28.19246109,28.75153279,27.8011109,28.1568838,28147331,1568166965.63,3.4363,1.0212,300014
2020-01-15,27.8011109,27.94342006,27.11497745,27.84177066,19380456,1049976663.7,2.366,-1.1191,300014
2020-01-16,27.71470891,28.27886308,27.53682246,28.04506946,15718204,864108297.91,1.9189,0.7302,300014
2020-01-17,28.19754356,28.75153279,27.445338,27.89259536,17773749,987241954.54,2.1699,-0.5437,300014
2020-01-20,28.2585332,30.68287139,28.2585332,30.64221163,40746418,2403987558.54,4.9744,9.8579,300014
2020-01-21,30.5456447,30.88108772,29.986573,30.3931706,20199347,1211715825.59,2.466,-0.8127,300014
2020-01-22,30.3931706,32.58371517,29.63588257,31.8670869,32153586,1976697986.3,3.9254,4.8495,300014
2020-01-23,31.2571905,32.2736845,29.986573,30.6472941,25712377,1565439074.06,3.139,-3.8278,300014
2020-02-03,27.58256469,29.09714075,27.58256469,27.58256469,37112490,2038989340.25,4.5308,-10.0,300014
2020-02-04,28.96499653,30.32201602,28.2077085,30.07805746,31501061,1837723925.68,3.8457,9.0474,300014
2020-02-05,30.9014176,32.36516896,29.986573,30.16445945,36103591,2220050480.42,4.4076,0.2873,300014
2020-02-06,29.13271804,32.16695263,28.98024394,31.78576738,34753155,2092014793.28,4.2428,5.3749,300014
2020-02-07,31.7654375,31.7654375,30.67270645,31.01323194,20675862,1262615084.96,2.5242,-2.4304,300014
2020-02-10,31.2571905,33.77301315,31.01831441,33.6967761,29003207,1879491830.73,3.5408,8.6529,300014
2020-02-11,33.6967761,34.052549,32.78701397,33.58496176,21503551,1416116739.47,2.6252,-0.3318,300014
2020-02-12,33.04113747,36.12111429,32.97506536,35.50105295,27980443,1947270498.76,3.4159,5.7052,300014
2020-02-13,35.3231665,37.1528557,35.23168204,35.5264653,28047737,1997233311.82,3.4242,0.0716,300014
2020-02-14,35.2215171,36.68526846,34.9673936,35.59253741,21271035,1501807046.32,2.5968,0.186,300014
2020-02-17,35.65352705,39.15026641,35.65352705,39.15026641,28426872,2122828455.66,3.4704,9.9957,300014
2020-02-18,39.93804926,41.8287281,38.88597797,40.17692535,37273936,2944481469.43,4.5505,2.6224,300014
2020-02-19,41.76773846,42.3877998,39.14518394,40.07019348,33001648,2627223014.62,4.0289,-0.2657,300014
2020-02-20,40.71566717,41.16292453,39.44504967,40.22775005,25838687,2047322757.37,3.1545,0.3932,300014
2020-02-21,40.5581106,41.10701736,39.15026641,40.99520302,28349052,2242871406.55,3.4609,1.9078,300014
2020-02-24,40.27349228,40.3039871,37.99654572,39.39422497,37456972,2895105212.69,4.5729,-3.9053,300014
2020-02-25,38.01179313,43.33313922,37.8135768,42.00661455,45733294,3634330386.17,5.5833,6.6314,300014
2020-02-26,40.21758511,40.98503808,37.80849433,37.80849433,47744147,3660573455.93,5.8287,-9.994,300014
2020-02-27,37.7119274,38.57086483,36.3396605,36.92414455,33792187,2477847357.66,4.1254,-2.339,300014
2020-02-28,35.07920794,36.02454736,33.60020917,33.82383785,38843816,2672550123.08,4.7422,-8.3964,300014
2020-03-02,35.03854818,35.69418681,33.82892032,35.2215171,28798204,1979487229.28,3.5158,4.1322,300014
2020-03-03,36.59886647,37.86948397,35.14528005,35.55696012,28070052,2016299944.32,3.4269,0.9524,300014
2020-03-04,35.19102228,36.6954334,34.94198125,35.96864019,26031563,1834939126.87,3.178,1.1578,300014
2020-03-05,36.593784,36.8479075,34.95214619,35.87715573,22728944,1593841411.2,2.7748,-0.2543,300014
2020-03-06,35.14019758,36.87331985,35.01313583,36.14652664,20699826,1475002887.95,2.5271,0.7508,300014
2020-03-09,35.069043,35.8314135,34.05763147,34.31175497,21492024,1474542577.01,2.6238,-5.0759,300014
2020-03-10,33.93565219,36.7970828,33.73235339,36.593784,30903026,2153001543.8,3.7727,6.6509,300014
2020-03-11,36.96988678,36.96988678,35.5264653,35.82124856,23365582,1662350518.06,2.8525,-2.1111,300014
2020-03-12,34.70818763,35.30791909,33.88482749,34.44898166,22229773,1512639957.27,2.7139,-3.8309,300014
2020-03-13,32.019561,34.72343504,32.019561,33.87974502,20007088,1318868632.23,2.4425,-1.6524,300014
2020-03-16,33.5951267,33.9508996,30.48973753,30.48973753,36381089,2281047722.49,4.4415,-10.006,300014
2020-03-17,31.26735544,31.511314,29.02598617,30.02723276,24741201,1470320077.2,3.0205,-1.5169,300014
2020-03-18,30.49990247,31.84167455,29.478326,29.56981046,23647947,1425833214.73,2.8869,-1.5234,300014
2020-03-19,30.37792319,30.5964694,28.72612044,29.96116065,23532152,1372072661.48,2.8729,1.3235,300014
2020-03-20,30.70828374,30.84042796,29.1733778,30.0882224,19645248,1158621618.87,2.3983,0.4241,300014
2020-03-23,28.78711008,29.3766766,27.07940016,27.07940016,26522328,1438135497.36,3.2379,-10.0,300014
2020-03-24,27.5978121,27.82652325,25.64106115,26.8862663,36070813,1896319739.32,4.4036,-0.7132,300014
2020-03-25,27.92817265,29.57489293,27.82652325,29.57489293,42014634,2410250087.62,5.1293,10.0,300014
2020-03-26,29.26994473,29.26994473,28.08064675,28.10097663,30904747,1740485824.57,3.7729,-4.9837,300014
2020-03-27,28.69054315,29.20895509,27.89259536,28.01457464,22662841,1271258304.35,2.7667,-0.3075,300014
2020-03-30,27.04382287,29.31568696,26.428844,28.48724435,30258156,1660323438.02,3.694,1.6872,300014
