date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,87.21553968,87.62585496,85.7289876,86.68414776,1906243,244705469.23,0.833,-0.4865,002821
2020-01-03,86.2334736,86.771592,84.42405048,84.753648,1713004,216940813.45,0.7486,-2.227,002821
2020-01-06,84.2827944,87.35679576,83.51597568,86.5025328,2317969,296794379.22,1.0129,2.0635,002821
2020-01-07,86.435268,87.780564,86.098944,87.51823128,1272579,164665702.05,0.5561,1.1742,002821
2020-01-08,87.44424,89.77160208,86.92630104,89.10568056,1675196,220986146.39,0.7321,1.8139,002821
2020-01-09,89.92631112,93.75367824,89.92631112,93.57878976,2925473,401619074.98,1.2784,5.02,002821
2020-01-10,94.14381408,95.0787948,93.08103024,93.64605456,1444593,201892218.85,0.6313,0.0719,002821
2020-01-13,94.55412936,97.870284,94.0361904,97.72230144,2054008,293597489.85,0.8976,4.3528,002821
2020-01-14,97.52723352,98.15952264,94.98462408,96.5922528,1498522,214698625.52,0.6548,-1.1564,002821
2020-01-15,96.51153504,99.61244232,95.73126336,98.62364976,1510355,219571634.73,0.66,2.1031,002821
2020-01-16,99.4846392,100.83666168,97.870284,100.0227576,1137562,168498965.83,0.4971,1.4186,002821
2020-01-17,100.224552,103.21110912,99.56535696,100.88374704,1575477,237016675.67,0.6885,0.8608,002821
2020-01-20,102.2761284,104.17972224,100.14383424,103.4868948,1439527,219131619.16,0.6291,2.5804,002821
2020-01-21,102.61917888,105.37703568,101.569848,103.587792,1478902,227973769.83,0.6463,0.0975,002821
2020-01-22,102.41738448,105.605736,102.10123992,105.37703568,1499166,232190113.07,0.6551,1.7273,002821
2020-01-23,104.6640288,106.12367496,101.906172,102.24922248,1908500,294362843.44,0.834,-2.9682,002821
2020-02-03,92.825424,101.64383928,92.825424,97.1303712,3125867,455957470.27,1.366,-5.0062,002821
2020-02-04,98.73127344,106.84340832,98.32768464,106.52726376,2682458,417042877.79,1.1722,9.6745,002821
2020-02-05,107.62368,107.62368,103.251468,104.75147304,3254855,507473139.77,1.4224,-1.667,002821
2020-02-06,104.92636152,115.2246024,103.51380072,111.56539728,3765046,613432707.89,1.6453,6.5049,002821
2020-02-07,113.28064968,113.45553816,104.77837896,106.94430552,3812878,611174105.86,1.6662,-4.142,002821
2020-02-10,106.94430552,107.1528264,104.03173968,106.1438544,2038197,319629382.05,0.8907,-0.7485,002821
2020-02-11,106.13712792,107.56314168,104.933088,106.90394664,2350011,372257697.64,1.0269,0.7161,002821
2020-02-12,106.23129864,110.98692,106.23129864,110.98692,2512963,408614418.19,1.0982,3.8193,002821
2020-02-13,110.98692,111.59902968,107.62368,108.20215728,1799101,290542494.81,0.7862,-2.5091,002821
2020-02-14,107.84565384,109.69543584,106.73578464,108.0945336,1552952,249857237.02,0.6786,-0.0995,002821
2020-02-17,118.84344864,118.90398696,114.35016,118.90398696,2725224,480096322.27,1.1909,10.0,002821
2020-02-18,122.3546712,123.767232,118.42640688,122.26722696,6275399,1130637686.51,2.7423,2.8285,002821
2020-02-19,120.29636832,121.07664,118.8569016,119.58336144,3056082,544588860.77,1.3355,-2.1951,002821
2020-02-20,119.61026736,122.1192444,119.19995208,121.06318704,2643047,475470040.76,1.155,1.2375,002821
2020-02-21,120.64614528,126.457824,119.5968144,125.02508376,3362683,618997055.18,1.4695,3.2726,002821
2020-02-24,125.785176,134.44888224,123.67306128,130.98474504,3632888,693290242.15,1.5876,4.7668,002821
2020-02-25,128.54975928,133.02959496,125.0788956,128.4421356,3328944,638174169.98,1.4547,-1.9411,002821
2020-02-26,125.5161168,127.80312,121.244802,123.094584,3652690,671056231.0,1.5962,-4.1634,002821
2020-02-27,123.58561704,127.80312,122.421936,125.90625264,2270811,422725836.33,0.9923,2.2841,002821
2020-02-28,123.430908,126.34347384,120.20892408,120.45780384,2545351,463123341.58,1.1123,-4.3274,002821
2020-03-02,121.07664,124.944366,119.731344,124.3726152,2570368,470449233.06,1.1232,3.2499,002821
2020-03-03,126.46455048,133.520628,126.46455048,130.5946092,2996411,582681790.32,1.3094,5.0027,002821
2020-03-04,128.812092,129.821064,125.785176,128.16634992,2723147,514838643.46,1.19,-1.8594,002821
2020-03-05,130.6282416,131.0990952,127.130472,129.66635496,1977080,378949006.38,0.864,1.1704,002821
2020-03-06,128.3748708,131.4354192,127.0632072,127.95110256,1907814,365083130.78,0.8337,-1.3228,002821
2020-03-09,126.1887648,127.44661656,122.20668864,122.49592728,2889290,533456713.55,1.2626,-4.2635,002821
2020-03-10,120.65287176,125.112528,118.9241664,121.749288,3561508,643889339.83,1.5564,-0.6095,002821
2020-03-11,121.749288,124.103556,117.7134,118.24479192,3571227,634533556.56,1.5606,-2.8785,002821
2020-03-12,115.44657624,117.377076,113.004864,115.74254136,3694914,632230863.87,1.6147,-2.1162,002821
2020-03-13,109.66180344,116.96003424,109.66180344,114.3837924,3991440,671269809.84,1.7442,-1.1739,002821
2020-03-16,114.39724536,115.5609264,107.62368,107.960004,3958663,658329432.13,1.7299,-5.616,002821
2020-03-17,108.75372864,110.90620224,104.3613372,106.7492376,3954767,625416554.4,1.7282,-1.1215,002821
2020-03-18,107.95327752,116.68424856,107.95327752,110.314272,5237550,881998016.22,2.2888,3.3396,002821
2020-03-19,111.67974744,114.4846896,106.01605128,108.59229312,4574893,748452343.49,1.9992,-1.561,002821
2020-03-20,111.659568,115.4936616,109.98467448,114.686484,4234554,712591780.1,1.8505,5.612,002821
2020-03-23,110.98019352,114.2828952,106.39946064,107.62368,4996843,812464001.44,2.1836,-6.1584,002821
2020-03-24,109.72234176,114.07437432,109.31202648,113.38827336,4088945,680553908.38,1.7868,5.3563,002821
2020-03-25,117.040752,118.2515184,114.518322,116.3344716,3777876,651941246.08,1.6509,2.5983,002821
2020-03-26,114.57213384,118.50712464,113.677512,117.45106728,2768705,482501549.67,1.2099,0.9598,002821
2020-03-27,118.722372,119.51609664,114.5519544,114.90845784,2591013,448823596.82,1.1323,-2.1648,002821
2020-03-30,112.89724032,114.69993696,108.6999168,110.84566392,3564687,587758452.48,1.5577,-3.5357,002821
2020-03-31,111.09454368,116.22684792,111.09454368,115.48693512,2918743,496124104.3,1.2755,4.1872,002821
2020-04-01,116.34119808,116.48918064,111.80755056,112.332216,2247750,378138008.44,0.9823,-2.7317,002821
2020-04-02,112.4667456,115.71563544,111.9286272,115.71563544,1840571,311841234.31,0.8043,3.012,002821
2020-04-03,115.359132,117.8479296,114.55868088,116.11922424,1878364,324912321.2,0.8208,0.3488,002821
2020-04-07,118.68201312,120.95556336,117.8479296,119.77170288,2385925,423847958.95,1.0426,3.1455,002821
2020-04-08,119.0923284,120.0340356,116.7716928,119.47573776,1690168,298556351.25,0.7386,-0.2471,002821
2020-04-09,118.13716824,130.74931824,118.13716824,128.52285336,3793417,707558419.22,1.6577,7.5724,002821
2020-04-10,128.475768,129.87487584,122.90624256,123.99593232,2615612,491558140.46,1.143,-3.5223,002821
2020-04-13,123.6327024,124.66185384,121.87036464,123.3300108,1664817,304853382.55,0.7275,-0.537,002821
2020-04-14,124.43988,128.475768,121.749288,127.19101032,2872076,536992506.9,1.2551,3.1306,002821
2020-04-15,126.457824,128.32105896,123.49144632,123.7335996,1540660,287232478.5,0.6733,-2.7183,002821
2020-04-16,123.3300108,125.3143224,122.421936,123.45108744,1696970,311396532.79,0.7416,-0.2283,002821
2020-04-17,123.41745504,126.30311496,122.22686808,122.6237304,2108332,387890748.81,0.9209,-0.6702,002821
2020-04-20,123.094584,127.78966704,122.17305624,126.84795984,2402290,450733762.27,1.0493,3.4449,002821
2020-04-21,126.06768816,129.06769824,124.51387128,127.00939536,2014954,379441690.29,0.8752,0.1273,002821
2020-04-22,125.75827008,128.139444,125.3143224,127.93092312,1388921,262697256.02,0.6033,0.7256,002821
2020-04-23,128.139444,130.70895936,124.43988,125.448852,2252688,423533843.59,0.9784,-1.9402,002821
2020-04-24,125.112528,126.3232944,122.421936,124.99145136,1287031,238424906.13,0.559,-0.3646,002821
2020-04-27,123.77395848,127.31208696,121.8838176,126.51163584,2151055,399880339.61,0.9343,1.2162,002821
2020-04-28,126.18203832,130.1910204,123.94212048,129.35693688,2309038,440403759.44,1.0029,2.249,002821
2020-04-29,129.148416,133.77623424,127.95782904,129.37711632,1861152,361446574.76,0.8084,0.0156,002821
2020-04-30,128.52285336,129.74034624,126.65289192,126.94885704,1741980,331279935.98,0.7566,-1.8769,002821
2020-05-06,126.457824,126.57890064,123.31655784,126.37710624,2265639,420863945.31,0.9841,-0.4504,002821
2020-05-07,126.37710624,128.65065648,124.42642704,125.45557848,2341583,437125033.96,1.017,-0.7292,002821
2020-05-08,125.05871616,127.12374552,124.776204,126.43091808,1625920,304698949.87,0.7062,0.7774,002821
2020-05-11,127.130472,129.148416,122.00489424,122.73808056,2843300,524885668.6,1.235,-2.9208,002821
2020-05-12,122.75826,126.8614128,121.89727056,126.4241916,2396635,446331001.08,1.0409,3.0032,002821
2020-05-13,129.0138864,134.41524984,126.53854176,134.07219936,4066906,797257487.69,1.7664,6.0495,002821
2020-05-14,134.11255824,136.26503184,133.184304,135.33005112,2303635,461326415.73,1.0006,0.9382,002821
2020-05-15,135.41076888,137.556516,131.92645224,132.9825096,2109692,421214804.16,0.9163,-1.7347,002821
2020-05-18,133.66188408,139.89060456,132.99596256,138.42423192,2278273,465630745.91,0.9895,4.0921,002821
