date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,4.9683537,5.1523668,4.9489839,5.036148,15208182,79259783.84,2.2169,2.3622,002284
2020-01-03,5.0845725,5.1039423,4.9780386,5.036148,10782165,56010641.15,1.5717,0.0,002284
2020-01-06,5.036148,5.2782705,4.9489839,5.1911064,21811458,115630191.3,3.1794,3.0769,002284
2020-01-07,5.1814215,5.2589007,5.1523668,5.2104762,15923672,85570438.27,2.3212,0.3731,002284
2020-01-08,5.229846,5.7334608,5.1523668,5.4429138,42116288,241314375.89,6.1392,4.461,002284
2020-01-09,5.423544,5.617242,5.3363799,5.5494477,29403205,165656923.03,4.286,1.9573,002284
2020-01-10,5.4816534,5.5300779,5.3751195,5.3944893,15069687,84327304.08,2.1967,-2.7923,002284
2020-01-13,5.423544,5.5591326,5.3848044,5.4622836,12297335,69237886.0,1.7926,1.2567,002284
2020-01-14,5.4525987,5.5591326,5.326695,5.3363799,14787063,82543152.09,2.1555,-2.305,002284
2020-01-15,5.3170101,5.5107081,5.2685856,5.3557497,8995218,49936444.55,1.3112,0.363,002284
2020-01-16,5.326695,5.4816534,5.2492158,5.326695,10884095,60424503.0,1.5865,-0.5425,002284
2020-01-17,5.3557497,5.3751195,5.1717366,5.1814215,10156605,55225958.73,1.4805,-2.7273,002284
2020-01-20,5.1620517,5.2007913,5.036148,5.1233121,9230620,48648571.4,1.3455,-1.1215,002284
2020-01-21,5.1039423,5.1039423,4.939299,4.9683537,8846808,45909021.28,1.2896,-3.0246,002284
2020-01-22,4.9586688,5.0652027,4.8327651,5.0167782,7152748,36694065.52,1.0426,0.9747,002284
2020-01-23,4.9974084,5.0845725,4.84245,4.9296141,8252120,42217250.4,1.2029,-1.7374,002284
2020-02-03,4.4356842,4.4356842,4.4356842,4.4356842,2831900,12970102.0,0.4128,-10.0196,002284
2020-02-04,3.9998637,4.3388352,3.9998637,4.2807258,10962553,48009953.68,1.598,-3.4934,002284
2020-02-05,4.2904107,4.4937936,4.2904107,4.358205,8686020,39424672.9,1.2661,1.81,002284
2020-02-06,4.3678899,4.4356842,4.2807258,4.3969446,9638102,43510865.0,1.4049,0.8889,002284
2020-02-07,4.3678899,4.4259993,4.3194654,4.3969446,8437000,38118624.04,1.2298,0.0,002284
2020-02-10,4.3969446,4.5809577,4.3678899,4.5131634,8687183,40299346.76,1.2663,2.6432,002284
2020-02-11,4.5034785,4.5615879,4.455054,4.5228483,6529542,30484161.47,0.9518,0.2146,002284
2020-02-12,4.4841087,4.7165463,4.4841087,4.6100124,10694950,50790701.9,1.559,1.9272,002284
2020-02-13,4.6100124,4.6100124,4.5034785,4.5131634,7710140,36164406.6,1.1239,-2.1008,002284
2020-02-14,4.4937936,4.5422181,4.4744238,4.4937936,5792900,26934202.0,0.8444,-0.4292,002284
2020-02-17,4.5228483,4.648752,4.5131634,4.6390671,8126496,38656508.84,1.1846,3.2328,002284
2020-02-18,4.648752,4.7843406,4.6293822,4.745601,9663036,46970461.04,1.4086,2.2965,002284
2020-02-19,4.7552859,4.8521349,4.7165463,4.745601,9921296,48884162.25,1.4462,0.0,002284
2020-02-20,4.8230802,4.9102443,4.7359161,4.8715047,11515263,57244125.01,1.6786,2.6531,002284
2020-02-21,4.8811896,5.1620517,4.8618198,5.0458329,16955140,87754253.66,2.4715,3.5785,002284
2020-02-24,5.229846,5.3654346,5.0458329,5.229846,22173339,118948427.07,3.2322,3.6468,002284
2020-02-25,5.1523668,5.7528306,5.0845725,5.7528306,56482180,326415174.81,8.2333,10.0,002284
2020-02-26,5.7722004,5.9755833,5.4719685,5.6366118,56440470,334338063.06,8.2272,-2.0202,002284
