date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,29.6383326,29.91830382,29.17493196,29.70591186,2795381,85890086.16,2.2847,1.4507,002920
2020-01-03,29.6866035,30.25620012,29.31974466,30.20792922,3006009,92500697.04,2.4569,1.69,002920
2020-01-06,29.927958,32.11945686,29.8314162,30.85475928,5788038,186984730.25,4.7307,2.1413,002920
2020-01-07,30.71960076,32.49596988,30.22723758,31.9553358,6247893,204415697.28,5.1066,3.567,002920
2020-01-08,31.35677664,32.99798724,31.35677664,32.6793993,6286620,209906770.04,5.1382,2.2659,002920
2020-01-09,32.86282872,34.9481316,32.824212,33.55792968,7011964,246662646.78,5.7311,2.6883,002920
2020-01-10,33.19107084,34.9964025,33.19107084,33.5482755,5320406,187743998.02,4.3485,-0.0288,002920
2020-01-13,34.10821794,34.8998607,33.23934174,34.54265604,4019316,141988718.02,3.2851,2.964,002920
2020-01-14,34.67781456,36.1066332,34.272339,34.272339,6411833,232384912.69,5.2406,-0.7826,002920
2020-01-15,34.14683466,34.71643128,33.9344427,34.4654226,3726200,132603280.8,3.0455,0.5634,002920
2020-01-16,34.8998607,34.9481316,33.8379009,34.4654226,3323970,118560577.14,2.7168,0.0,002920
2020-01-17,34.74539382,34.86124398,33.5965464,33.9827136,4409385,156068495.66,3.6039,-1.4006,002920
2020-01-20,34.29164736,35.1412152,33.78963,34.8998607,3824711,136966851.47,3.126,2.6989,002920
2020-01-21,34.8998607,35.5756533,33.87651762,35.237757,3960403,142305020.04,3.2369,0.9682,002920
2020-01-22,35.237757,35.237757,31.86844818,34.4654226,9161854,317295033.33,7.4882,-2.1918,002920
2020-01-23,33.43242534,34.91916906,32.54424078,33.2103792,4698508,164027398.44,3.8402,-3.6415,002920
2020-02-03,29.91830382,30.7002924,29.88934128,29.88934128,4015857,124949887.88,3.2823,-10.0,002920
2020-02-04,30.1693125,32.7276702,30.1693125,32.341503,5422407,179193917.5,4.4319,8.2041,002920
2020-02-05,32.6793993,33.7413591,32.02291506,32.341503,4960958,169157737.59,4.0547,0.0,002920
2020-02-06,31.82017728,32.81455782,31.6657104,32.341503,4136682,138276812.1,3.381,0.0,002920
2020-02-07,32.32219464,32.76628692,31.1830014,32.50562406,4076191,135465730.37,3.3316,0.5075,002920
2020-02-10,32.7276702,34.5619644,32.2449612,34.43646006,5318434,184151942.92,4.3469,5.94,002920
2020-02-11,34.20475974,34.272339,32.97867888,33.31657518,4413745,153133019.13,3.6075,-3.252,002920
2020-02-12,32.98833306,33.57723804,32.57320332,33.43242534,3973560,136191647.8,3.2477,0.3477,002920
2020-02-13,33.77032164,34.9481316,33.05591232,34.15648884,5894240,209221567.2,4.8175,2.1658,002920
2020-02-14,34.1757972,35.39222388,33.6930882,34.45576842,4007551,143613014.56,3.2755,0.8762,002920
2020-02-17,35.01571086,36.1066332,34.6585062,35.3825697,5249730,193201174.7,4.2907,2.6898,002920
2020-02-18,35.3342988,35.97147468,34.47507678,35.11225266,5218060,189262537.54,4.2649,-0.764,002920
2020-02-19,35.0929443,36.47349204,34.71643128,35.78804526,5771214,212784067.88,4.717,1.9247,002920
2020-02-20,35.720466,36.00043722,34.87089816,35.720466,3822145,140215681.66,3.1239,-0.1888,002920
2020-02-21,35.9135496,37.53545184,35.36326134,36.90793014,6108053,232613560.62,4.9923,3.3243,002920
2020-02-24,38.24020698,40.5958269,38.2305528,40.5958269,6673637,278484404.63,5.4545,9.9922,002920
2020-02-25,39.94899684,44.66023668,39.59179218,44.2161444,12451394,546588758.32,10.1769,8.918,002920
2020-02-26,43.44381,45.857355,41.18473188,42.2853084,11983214,539836809.11,9.7942,-4.3668,002920
2020-02-27,42.961101,44.29337784,41.2233486,41.995683,5914968,258946674.53,4.8345,-0.6849,002920
2020-02-28,40.064847,46.1469804,40.064847,41.58055326,12408629,557468924.11,10.1419,-0.9885,002920
2020-03-02,43.56931434,45.74150484,42.58458798,44.6988534,11149113,513485378.89,9.1125,7.4994,002920
2020-03-03,45.53876706,48.753609,45.53876706,46.5814185,10641537,515153073.43,8.6976,4.2117,002920
2020-03-04,46.60072686,46.90000644,41.93775792,43.926519,9756515,449794799.06,7.9743,-5.6995,002920
2020-03-05,44.03271498,44.38991964,40.31585568,41.39712384,10377583,450390348.3,8.4819,-5.7582,002920
2020-03-06,41.63847834,42.17911242,40.547556,41.39712384,5854766,251514005.6,4.7853,0.0,002920
2020-03-09,39.8717634,41.20404024,38.134011,38.61672,6741605,276404462.5,5.5101,-6.7164,002920
2020-03-10,38.5201782,40.7406396,37.5547602,40.27723896,7372165,300108733.56,6.0255,4.3,002920
2020-03-11,40.57651854,41.95706628,39.099429,39.099429,6966223,293382743.21,5.6937,-2.9243,002920
2020-03-12,38.53948656,40.064847,37.59337692,38.33674878,6076095,242493470.78,4.9662,-1.9506,002920
2020-03-13,35.5273824,39.099429,35.1412152,37.64164782,7154165,274838864.37,5.8473,-1.8131,002920
2020-03-16,38.15331936,38.20159026,34.13718048,34.755048,6248067,232583399.62,5.1067,-7.6686,002920
2020-03-17,35.6721951,36.203175,33.72205074,34.4171517,6333180,228191363.36,5.1763,-0.9722,002920
