date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,19.7536464,20.0764184,19.6568148,19.77301272,12893340,396121113.44,0.9516,-0.0326,300124
2020-01-03,19.7859236,19.9795868,19.68263656,19.9150324,8182035,250994209.31,0.6039,0.7183,300124
2020-01-06,19.850478,20.2700816,19.7213692,19.83111168,9736162,301556312.84,0.7186,-0.4214,300124
2020-01-07,19.8182008,19.90212152,19.3985972,19.66327024,10018674,304559450.27,0.7394,-0.8464,300124
2020-01-08,19.6245376,20.26362616,19.5599832,20.19261632,10461389,324980783.42,0.7632,2.6921,300124
2020-01-09,20.18616088,20.55412096,19.6245376,19.9795868,10867691,336270041.72,0.7929,-1.055,300124
2020-01-10,19.98604224,20.08932928,19.66972568,20.011864,6727212,207111696.03,0.4908,0.1615,300124
2020-01-13,20.011864,20.5282992,19.88921064,20.43792304,9302400,293226871.72,0.6787,2.129,300124
2020-01-14,20.41210128,20.61867536,20.16679456,20.2378044,5134194,162148239.92,0.3746,-0.9792,300124
2020-01-15,20.36045776,20.496022,20.011864,20.2700816,5102145,159903488.59,0.3722,0.1595,300124
2020-01-16,20.17325,20.7542396,20.08287384,20.2700816,8235620,260876025.37,0.6009,0.0,300124
2020-01-17,20.34109144,20.41855672,19.2372112,19.8827552,18700535,568878295.71,1.3644,-1.9108,300124
2020-01-20,19.4954288,20.51538832,19.30822104,19.86338888,20532439,633876965.05,1.4863,-0.0974,300124
2020-01-21,19.83756712,20.18616088,19.05645888,19.19847856,14937426,450066872.84,1.0813,-3.3474,300124
2020-01-22,19.1726568,19.35340912,18.57875632,19.22430032,12942984,382148686.08,0.9369,0.1345,300124
2020-01-23,19.10164696,19.8182008,18.64331072,18.882162,12403916,368682835.04,0.8979,-1.7797,300124
2020-02-03,16.99717352,18.12687552,16.99717352,17.04881704,16160166,434661228.42,1.1698,-9.7094,300124
2020-02-04,17.44905432,18.15269728,17.44259888,17.8492916,14051927,388343193.45,1.0172,4.6952,300124
2020-02-05,18.12042008,18.52065736,17.67499472,18.06877656,15170599,424920158.92,1.0982,1.2297,300124
2020-02-06,18.0106776,18.55939,17.64271752,18.35281592,14763204,414704441.41,1.0687,1.572,300124
2020-02-07,18.25598432,18.44964752,17.98485584,18.23016256,12471032,351710839.55,0.9028,-0.6683,300124
2020-02-10,18.32699416,18.70140968,18.1397864,18.64331072,14662631,418810875.34,1.0614,2.2663,300124
2020-02-11,18.83697392,19.12746872,18.59812264,18.8498848,10114100,295568403.29,0.7321,1.108,300124
2020-02-12,18.7853304,19.43732984,18.720776,19.28239928,10618138,314958022.42,0.7686,2.2945,300124
2020-02-13,19.23075576,19.5599832,18.64976616,18.79824128,12405871,363673047.29,0.898,-2.5109,300124
2020-02-14,18.720776,19.19202312,18.60457808,18.87570656,6511619,190802782.48,0.4714,0.4121,300124
2020-02-17,19.043548,19.47606248,18.9144392,19.43732984,8224196,245001612.21,0.5953,2.9754,300124
2020-02-18,19.57934952,19.8827552,19.30822104,19.76010184,11139275,337874548.14,0.8064,1.6606,300124
2020-02-19,19.50833968,20.2055272,19.35340912,19.95376504,13515604,414695710.31,0.9784,0.9801,300124
2020-02-20,19.850478,20.25071528,19.56643864,19.850478,10792500,331731087.18,0.7812,-0.5176,300124
2020-02-21,19.85693344,20.47665568,19.85693344,19.95376504,14637943,456143885.45,1.0596,0.5203,300124
2020-02-24,20.2055272,20.5282992,19.4631516,20.28299248,17488644,546383516.25,1.266,1.65,300124
2020-02-25,19.9473096,20.90917016,19.689092,20.90917016,22889463,719430015.71,1.6569,3.0872,300124
2020-02-26,20.59930904,20.7865168,19.6568148,19.74073552,19108130,596203859.79,1.3832,-5.5881,300124
