date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,2.512146,2.5894428,2.4928218,2.5797807,79117140,209410037.22,4.9447,3.4884,002517
2020-01-03,2.6184291,2.802009,2.6184291,2.6667396,113722446,317184127.14,7.1075,3.3708,002517
2020-01-06,2.6280912,2.7247122,2.6280912,2.6667396,91796874,253580317.26,5.7372,0.0,002517
2020-01-07,2.6860638,2.8406574,2.6667396,2.7923469,111843240,319728593.23,6.99,4.7101,002517
2020-01-08,2.7923469,2.8309953,2.6957259,2.705388,79288817,225710326.09,4.9554,-3.1142,002517
2020-01-09,2.7343743,2.8309953,2.7343743,2.7633606,72125226,207108788.83,4.5077,2.1429,002517
2020-01-10,2.7826848,2.802009,2.7150501,2.7247122,46589160,132252727.3,2.9117,-1.3986,002517
2020-01-13,2.7150501,2.7247122,2.6474154,2.705388,51932400,144355178.48,3.2457,-0.7092,002517
2020-01-14,2.7247122,2.7440364,2.6764017,2.6860638,42339678,118510341.46,2.6462,-0.7143,002517
2020-01-15,2.6764017,2.6860638,2.608767,2.6280912,44541311,121720967.42,2.7838,-2.1583,002517
2020-01-16,2.6474154,2.6570775,2.5894428,2.5991049,33458649,90763656.43,2.0911,-1.1029,002517
2020-01-17,2.5991049,2.6184291,2.5314702,2.5507944,40463987,107824136.44,2.5289,-1.8587,002517
2020-01-20,2.5314702,2.5797807,2.5218081,2.5797807,28422843,75210234.35,1.7764,1.1364,002517
2020-01-21,2.4928218,2.5507944,2.3575524,2.5218081,58528841,150480086.6,3.658,-2.2472,002517
2020-01-22,2.5604565,2.6280912,2.4734976,2.5894428,56492650,149879756.0,3.5307,2.682,002517
2020-01-23,2.5701186,2.5894428,2.4541734,2.5314702,44758123,117171326.97,2.7973,-2.2388,002517
2020-02-03,2.2802556,2.3865387,2.2802556,2.2802556,67021523,159994727.58,4.1887,-9.9237,002517
2020-02-04,2.2705935,2.512146,2.2609314,2.4734976,98382600,245842015.39,6.1488,8.4746,002517
2020-02-05,2.4831597,2.6377533,2.4831597,2.5894428,86652476,231292597.98,5.4156,4.6875,002517
2020-02-06,2.6184291,2.705388,2.5507944,2.6860638,94131965,256547126.67,5.8831,3.7313,002517
2020-02-07,2.6764017,2.9566026,2.6377533,2.8696437,154727009,446514110.53,9.6702,6.8345,002517
2020-02-10,2.8116711,2.8309953,2.6860638,2.7343743,106134417,302285258.38,6.6332,-4.7138,002517
2020-02-11,2.705388,2.7826848,2.6474154,2.6764017,76050529,212778444.36,4.753,-2.1201,002517
2020-02-12,2.6474154,2.7826848,2.6377533,2.7536985,79661900,225869656.5,4.9787,2.8881,002517
2020-02-13,2.7536985,2.7730227,2.6667396,2.7247122,64469880,181157735.5,4.0293,-1.0526,002517
2020-02-14,2.705388,2.7923469,2.6764017,2.7247122,59249384,168479989.04,3.703,0.0,002517
2020-02-17,2.7440364,2.8503195,2.7247122,2.8116711,84697884,244453427.17,5.2935,3.1915,002517
2020-02-18,2.8116711,2.9179542,2.7730227,2.8793058,97172329,284889197.13,6.0731,2.4055,002517
2020-02-19,2.8503195,2.8503195,2.7536985,2.7633606,87191843,252823871.27,5.4493,-4.0268,002517
2020-02-20,2.7730227,2.7923469,2.6957259,2.7730227,83940772,238971971.99,5.2462,0.3497,002517
2020-02-21,2.7730227,2.89863,2.7343743,2.8406574,110714241,325486458.33,6.9195,2.439,002517
2020-02-24,2.8309953,2.9662647,2.8213332,2.9179542,109575304,329935984.36,6.8483,2.7211,002517
2020-02-25,2.8406574,2.8793058,2.7343743,2.8503195,104771343,305780055.55,6.548,-2.3179,002517
2020-02-26,2.8406574,3.1401825,2.8213332,3.1401825,237120702,746158562.64,14.8197,10.1695,002517
2020-02-27,3.3141003,3.4590318,3.1015341,3.4590318,253887849,880671963.02,15.8676,10.1538,002517
2020-02-28,3.1111962,3.768219,3.1111962,3.2561277,416684944,1469520824.02,26.0421,-5.8659,002517
2020-03-02,3.381735,3.5846391,3.1691688,3.4686939,358406256,1271650683.99,22.3998,6.5282,002517
2020-03-03,3.381735,3.4203834,3.1981551,3.2464656,265186134,909465139.16,16.5737,-6.4067,002517
