date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-09-29,17.12262564,17.12262564,17.12262564,17.12262564,344657,6069409.77,0.8614,43.9902,605136
2020-09-30,18.83391588,18.83391588,18.83391588,18.83391588,280811,5439309.07,0.7019,9.9943,605136
2020-10-09,20.72022444,20.72022444,20.72022444,20.72022444,111444,2374871.64,0.2785,10.0155,605136
2020-10-12,22.79127456,22.79127456,22.79127456,22.79127456,189105,4432621.2,0.4726,9.9953,605136
2020-10-13,25.06651272,25.06651272,25.06651272,25.06651272,252484,6509037.52,0.6311,9.9829,605136
2020-10-14,27.57510864,27.57510864,27.57510864,27.57510864,238895,6775062.2,0.5971,10.0078,605136
2020-10-15,30.3365088,30.3365088,30.3365088,30.3365088,153768,4797561.6,0.3843,10.0141,605136
2020-10-16,33.37015968,33.37015968,33.37015968,33.37015968,290942,9985129.44,0.7272,10.0,605136
2020-10-19,36.705231,36.705231,36.705231,36.705231,226537,8551771.75,0.5662,9.9942,605136
2020-10-20,40.38061572,40.38061572,40.38061572,40.38061572,223718,9291008.54,0.5592,10.0132,605136
2020-10-21,44.41576032,44.41576032,44.41576032,44.41576032,207747,9489882.96,0.5192,9.9928,605136
2020-10-22,48.859281,48.859281,48.859281,48.859281,206768,10390092.0,0.5168,10.0044,605136
2020-10-23,53.75007072,53.75007072,48.88845072,50.08440924,29601848,1594165958.46,73.9861,2.5075,605136
2020-10-26,47.65359924,47.65359924,45.07694064,45.07694064,2609124,123937392.1,6.5212,-9.9981,605136
2020-10-27,43.75458,43.8518124,40.6431432,41.86827144,18881782,820304051.17,47.1927,-7.1182,605136
2020-10-28,40.837608,41.44044888,39.74860512,40.108365,11172118,466416287.57,27.9233,-4.2034,605136
2020-10-29,38.90268324,40.29310656,38.5040304,39.865284,10372020,417623045.88,25.9236,-0.6061,605136
2020-10-30,39.9139002,40.80843828,38.56236984,38.89296,9024541,369807914.51,22.5557,-2.439,605136
2020-11-02,39.07770156,39.44718468,35.91764856,37.7747874,9025691,347714163.3,22.5586,-2.875,605136
2020-11-03,37.5317064,39.8166678,37.2400092,38.77628112,8846750,350668738.53,22.1113,2.6512,605136
2020-11-04,38.1151008,38.59153956,37.18166976,38.19288672,6238329,243086409.95,15.5919,-1.5045,605136
2020-11-05,38.88323676,39.6708192,38.32901208,39.00963888,7333804,293850629.43,18.3299,2.1385,605136
2020-11-06,38.9901924,39.00963888,36.7538472,36.8510796,7239312,279894837.76,18.0938,-5.5334,605136
2020-11-09,37.10388384,40.53618756,37.0941606,40.53618756,12891557,520975793.53,32.2208,10.0,605136
2020-11-10,39.865284,40.1569812,37.80395712,38.05676136,9981926,397790497.66,24.9486,-6.1166,605136
2020-11-11,37.20111624,37.59004584,34.64390412,34.88698512,9346096,345053979.53,23.3594,-8.3291,605136
2020-11-12,35.18840556,35.5870584,33.62296392,33.99244704,6573592,232479080.15,16.4299,-2.5641,605136
2020-11-13,34.21608156,34.83836892,33.7396428,34.6147344,4817194,169974664.92,12.04,1.8307,605136
2020-11-16,34.7119668,36.72467748,34.6147344,36.6079986,7430964,272704908.85,18.5728,5.7584,605136
2020-11-17,35.975988,38.406798,35.5870584,37.68727824,9627133,367583700.5,24.0618,2.9482,605136
2020-11-18,37.06499088,38.3095656,36.6566148,37.80395712,6604802,254446157.99,16.5079,0.3096,605136
2020-11-19,37.36641132,37.80395712,36.83163312,37.22056272,4672150,179476825.59,11.6775,-1.5432,605136
2020-11-20,37.1427768,37.5803226,35.5384422,35.54816544,6090838,226730447.85,15.2233,-4.4932,605136
2020-11-23,35.72318376,36.77329368,35.1495126,35.66484432,4133915,152248844.39,10.3322,0.3282,605136
2020-11-24,35.1981288,35.57733516,34.7119668,35.3925936,3374752,122069883.09,8.4348,-0.7634,605136
2020-11-25,35.3925936,35.489826,34.1771886,34.1771886,3634012,130010300.01,9.0828,-3.4341,605136
2020-11-26,34.01189352,34.48833228,33.3993294,33.6424104,3123093,108660584.46,7.8058,-1.5647,605136
2020-11-27,33.52573152,33.60351744,32.329773,32.329773,5070091,171063316.07,12.6721,-3.9017,605136
2020-11-30,32.44645188,33.13680192,31.81444128,32.45617512,3510187,117076594.91,8.7733,0.391,605136
2020-12-01,32.39783568,33.17569488,32.26171032,33.04929276,2758661,93134348.05,6.8949,1.8274,605136
2020-12-02,32.99095332,34.274421,32.87427444,33.545178,4030193,138936749.11,10.073,1.5004,605136
2020-12-03,33.22431108,33.48683856,32.7673188,33.1076322,2700630,91950750.8,6.7499,-1.3043,605136
2020-12-04,32.99095332,33.1076322,32.26171032,32.98123008,2600633,87512704.06,6.5,-0.3818,605136
2020-12-07,32.85482796,33.91466112,32.5242378,33.27292728,2941196,100970031.23,7.3512,0.8844,605136
2020-12-08,33.059016,33.545178,32.92289064,32.9617836,1983743,67645112.98,4.9581,-0.9351,605136
2020-12-09,32.7673188,33.059016,31.5032976,31.53246732,3315615,109496209.06,8.287,-4.3363,605136
2020-12-10,31.13381448,31.91167368,30.88101024,31.7949948,2687744,86564928.18,6.7177,0.8326,605136
2020-12-11,31.60053,31.78527156,30.22955316,30.51152712,2632170,83409539.63,6.5788,-4.0367,605136
2020-12-14,30.2392764,32.8645512,29.5586496,31.60053,4242203,133604973.98,10.6029,3.5692,605136
2020-12-15,31.357449,32.99095332,31.07547504,32.0380758,4393018,144678232.96,10.9798,1.3846,605136
2020-12-16,31.6977624,32.0380758,30.9199032,31.0657518,2841880,92072245.53,7.1029,-3.0349,605136
2020-12-17,30.32678556,31.5032976,30.17121372,31.34772576,2442801,77431262.27,6.1055,0.9077,605136
2020-12-18,31.20187716,31.28938632,29.96702568,29.96702568,2679765,83951521.75,6.6977,-4.4045,605136
2020-12-21,29.79200736,30.0934278,29.40307776,29.9475792,1939991,59522161.84,4.8488,-0.0649,605136
2020-12-22,29.61698904,29.92813272,27.98348472,28.09044036,3399362,100752018.88,8.4963,-6.2013,605136
2020-12-23,28.10988684,28.27518192,27.20562552,27.28341144,3013705,85607856.84,7.5324,-2.873,605136
2020-12-24,27.28341144,27.7598502,26.27219448,26.52499872,2794708,77509798.18,6.985,-2.7798,605136
2020-12-25,26.72918676,26.8847586,25.95132756,26.4472128,2187186,59394282.06,5.4666,-0.2933,605136
2020-12-28,26.33053392,26.70001704,25.6207374,25.6207374,2497549,67038666.94,6.2423,-3.125,605136
2020-12-29,25.51378176,26.252748,25.45544232,25.89298812,2180027,57957122.75,5.4487,1.0626,605136
2020-12-30,26.04855996,26.24302476,25.7179698,26.14579236,1836901,49098936.6,4.5911,0.9763,605136
2020-12-31,26.4472128,28.72245096,26.1068994,27.48759948,5888944,166724793.56,14.7187,5.132,605136
2021-01-04,27.15700932,28.1487798,26.52499872,28.04182416,4425482,124539792.01,11.0609,2.0163,605136
2021-01-05,27.58483188,28.06127064,27.15700932,27.68206428,3203075,91061386.71,8.0057,-1.2829,605136
2021-01-06,27.52649244,28.41130728,26.73891,26.84586564,3708500,103956105.95,9.2689,-3.0207,605136
2021-01-07,26.36942688,26.8847586,24.794262,25.21236132,4113503,109057646.12,10.2812,-6.0848,605136
2021-01-08,25.1345754,25.16374512,24.3081,24.57062748,2785470,70771833.72,6.9619,-2.5453,605136
2021-01-11,24.8428782,25.4262726,24.1136352,24.17197464,2598536,66066467.46,6.4947,-1.6225,605136
2021-01-12,24.3081,24.9887268,24.1136352,24.41505564,2310015,58213831.45,5.7736,1.0056,605136
2021-01-13,24.42477888,24.5025648,22.91767668,22.93712316,3922229,94572711.99,9.8031,-6.0534,605136
2021-01-14,23.02463232,23.79276828,22.7037654,23.18020416,2916106,69846499.08,7.2884,1.0598,605136
2021-01-15,23.10241824,24.52201128,22.96629288,24.08446548,3759013,92760523.96,9.3952,3.901,605136
2021-01-18,23.75387532,24.56090424,23.75387532,24.2594838,2873300,71665870.64,7.1815,0.7267,605136
2021-01-19,24.3081,24.94983384,24.19142112,24.58035072,2633832,66654025.61,6.5829,1.3226,605136
2021-01-20,24.59007396,27.04033044,24.12335844,27.04033044,4712928,123815477.16,11.7794,10.0079,605136
2021-01-21,26.26247124,26.52499872,25.58184444,25.9610508,6816479,182496809.36,17.0369,-3.9914,605136
2021-01-22,25.56239796,28.55715588,24.6970296,28.55715588,10724974,297230119.7,26.8057,10.0,605136
2021-01-25,27.94459176,30.02536512,27.8084664,29.08221084,11206764,332713524.0,28.0099,1.8386,605136
2021-01-26,28.197396,30.12259752,27.225072,28.21684248,7871065,231332037.94,19.6727,-2.9756,605136
2021-01-27,28.0029312,28.0029312,26.76807972,27.40009032,5678650,159612864.75,14.1931,-2.8946,605136
2021-01-28,26.74863324,29.9475792,26.6416776,28.46964672,7596426,221076153.23,18.9863,3.9035,605136
2021-01-29,27.954315,30.99768912,27.88625232,29.9475792,10698523,327135464.38,26.7396,5.1913,605136
