date,open,high,low,close,volume,amount,turnover,涨跌幅,stock_name
2020-01-02,7.31468625,7.857278,7.2940815,7.67183525,41324201,458634461.62,3.8459,6.0779,300274
2020-01-03,7.72678125,7.747386,7.57567975,7.6237575,26405331,294171807.22,2.4574,-0.6267,300274
2020-01-06,7.610021,8.05645725,7.5688115,8.00151125,45341190,520528184.04,4.2197,4.9549,300274
2020-01-07,8.08393025,8.13887625,7.884751,8.0083795,29783630,346582326.55,2.7718,0.0858,300274
2020-01-08,8.04272075,8.1457445,7.90535575,7.97403825,32873296,385026420.48,3.0594,-0.4288,300274
2020-01-09,8.104535,8.3105825,7.912224,8.0083795,32017981,375343558.92,2.9798,0.4307,300274
2020-01-10,7.96717,8.01524775,7.72678125,7.7611225,32968394,375553974.68,3.0682,-3.0875,300274
2020-01-13,7.857278,7.98777475,7.64436225,7.9534335,30935126,353806392.07,2.879,2.4779,300274
2020-01-14,7.9534335,8.0907985,7.884751,7.91909225,21149574,245412297.45,1.9683,-0.4318,300274
2020-01-15,7.912224,7.93282875,7.7611225,7.8160685,13755100,156596556.91,1.2801,-1.301,300274
2020-01-16,7.8710145,7.994643,7.76799075,7.829805,17821291,203978228.42,1.6585,0.1757,300274
2020-01-17,7.829805,7.94656525,7.7061765,7.76799075,14758256,167944378.55,1.3735,-0.7895,300274
2020-01-20,7.80920025,7.9809065,7.69930825,7.96030175,23392395,267861588.71,2.177,2.4757,300274
2020-01-21,7.97403825,7.97403825,7.555075,7.610021,36055906,402897740.83,3.3556,-4.4003,300274
2020-01-22,7.69244,8.3655285,7.57567975,8.186954,48503118,562014339.22,4.514,7.5812,300274
2020-01-23,8.1182715,8.23503175,7.69930825,7.82293675,44348137,517550204.38,4.1273,-4.4463,300274
2020-02-03,7.03995625,7.03995625,7.03995625,7.03995625,4565000,46791250.0,0.4248,-10.0088,300274
2020-02-04,6.456155,7.0468245,6.456155,6.99874675,46829750,466793829.08,4.3582,-0.5854,300274
2020-02-05,6.95753725,7.2116625,6.93006425,6.98501025,32465221,333845189.35,3.0214,-0.1963,300274
2020-02-06,6.94380075,7.24600375,6.8819865,7.1567165,29804281,308275539.72,2.7737,2.4582,300274
